FLUSHSTAGES entries=274432 bytes=60718536 enc_ms=166.8 lz4_ms=78.0 bloom_ms=37.7 crc_ms=15.7 write_ms=37.6 lz4=true
FLUSHSTAGES entries=268 bytes=2817 enc_ms=5.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60267967 enc_ms=224.3 lz4_ms=100.2 bloom_ms=35.9 crc_ms=15.0 write_ms=38.4 lz4=true
FLUSHSTAGES entries=266 bytes=2798 enc_ms=6.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60719098 enc_ms=291.1 lz4_ms=146.4 bloom_ms=49.1 crc_ms=20.0 write_ms=48.3 lz4=true
FLUSHSTAGES entries=268 bytes=2816 enc_ms=6.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496613 enc_ms=260.8 lz4_ms=140.5 bloom_ms=46.4 crc_ms=19.1 write_ms=54.1 lz4=true
FLUSHSTAGES entries=267 bytes=2806 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=158.8 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=8.7 lz4=false
FLUSHSTAGES entries=292864 bytes=64801415 enc_ms=222.2 lz4_ms=112.5 bloom_ms=40.7 crc_ms=15.7 write_ms=44.8 lz4=true
FLUSHSTAGES entries=286 bytes=3002 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496800 enc_ms=231.1 lz4_ms=123.2 bloom_ms=37.3 crc_ms=14.6 write_ms=41.1 lz4=true
FLUSHSTAGES entries=267 bytes=2806 enc_ms=7.6 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
