shape                        ratio med  (runs)          pedra med   rocks med
deps_apply_batch                 0.890  (0.86, 0.89, 1.02)        5,680       6,481
deps_apply_batch_mc4             1.771  (0.85, 1.87, 1.77)        7,462       4,603
deps_cache_overwrite             0.211  (0.21, 0.20, 0.24)       26,339     124,457
deps_cache_overwrite_mc4         0.420  (0.42, 0.41, 0.58)       25,450      60,562
deps_mvcc_latest                 2.527  (2.53, 2.65, 2.11)      680,455     280,556
deps_raftlog                     0.917  (0.55, 0.92, 0.95)       10,372      11,879
deps_raftlog_mc4                 1.962  (2.16, 1.96, 1.92)       29,730      15,156
deps_scan                        1.597  (1.60, 1.57, 1.65)      426,644     271,453
ycsb_a                           0.223  (0.29, 0.22, 0.04)       52,450     225,560
ycsb_a_mc4                       0.830  (0.97, 0.83, 0.41)       79,938      96,532
ycsb_b                           0.446  (0.45, 0.55, 0.38)      392,654     744,382
ycsb_c                           1.685  (1.78, 1.69, 1.54)    2,362,204   1,367,560
ycsb_d                           0.517  (0.52, 0.58, 0.18)      440,000     851,124
ycsb_e                           2.551  (2.67, 2.55, 0.97)      291,458     116,058
ycsb_f                           0.308  (0.31, 0.39, 0.17)       48,646     157,965
ycsb_f_mc4                       0.663  (0.66, 0.97, 0.53)       76,129     114,858

>=2.0: 2/16
